id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
1256034,ENTIRE APARTMENT 450ft² 2LDK NEAR SHIBUYA/YOYOGI,6834839,Tokyo'S Best Stay,,Shibuya Ku,35.68092,139.69273,Private room,12374,1,127,2019-05-23,1.75
1263000,SHIBUYA 7 MINS  AMAZING HOST(for woman only),6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,6994,3,175,2019-06-10,2.4
1289173,"Fashionable Harajuku/Omotesando, next to Shibuya",151977,Miyuki,,Shibuya Ku,35.67058,139.71288,Entire home/apt,7747,28,49,2018-03-27,0.69
1298200,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,6606987,K & N,,Katsushika Ku,35.7385,139.85166999999998,Entire home/apt,13020,2,306,2019-06-23,4.19
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.700990000000004,139.74012,Entire home/apt,27976,3,144,2019-06-09,2.07
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,30021,2,197,2019-05-20,2.75
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.725970000000004,139.7016,Private room,3228,3,218,2019-06-12,3.09
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,2152,3,213,2019-05-29,2.98
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.736259999999994,139.85023999999999,Entire home/apt,12051,2,271,2019-06-23,3.78
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.69908,139.70335,Private room,6026,2,147,2019-05-19,2.08
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70362,Private room,6026,2,118,2019-05-25,1.68
1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69916,139.70373999999998,Shared room,3981,2,151,2019-06-20,2.14
1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.6992,139.70391999999998,Shared room,3981,2,124,2019-06-26,1.77
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65918,139.61021000000002,Private room,3336,2,41,2019-04-24,0.6
1600758,Ideal for watching RWC at Tokyo Stadium!,8529477,Mari ,,Setagaya Ku,35.6591,139.61036000000001,Private room,3336,2,5,2019-05-30,0.43
1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.6825,139.69203000000002,Entire home/apt,12912,3,71,2019-05-17,1.11
1732795,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",6606987,K & N,,Katsushika Ku,35.73963,139.85371999999998,Entire home/apt,13450,2,274,2019-06-14,3.96
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.69279,139.70928999999998,Private room,7747,1,233,2019-06-03,3.36
1774575,CHIC APARTMENT SHIBUYA/ROPPONGI 54103,6591488,Leo,,Minato Ku,35.66891,139.72971,Entire home/apt,9146,30,22,2019-01-18,0.33
1788937,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",9365325,Takayuki,,Mitaka Shi,35.70171,139.55988,Entire home/apt,13988,1,0,,
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61626,139.72338,Private room,7962,2,218,2019-06-02,3.19
1937053,MODERN LIVING CLOSE TO JR. SHIBUYA / EBISU,6591488,Leo,,Minato Ku,35.64397,139.7238,Entire home/apt,8608,3,17,2018-11-26,0.25
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63797,139.64716,Entire home/apt,14957,2,101,2019-06-08,1.57
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.656279999999995,139.72586,Entire home/apt,69510,4,160,2019-06-08,2.38
2075509,Stunning home in central Tokyo,11046932,The Dawson Family,,Minato Ku,35.650290000000005,139.73327,Entire home/apt,79948,3,215,2019-05-30,3.25
2129583,*B*Tranquil Retreat with LOFT& WIFI near Shinjuku!,9203725,Memz And Taki,,Suginami Ku,35.67347,139.65953000000002,Entire home/apt,10975,1,7,2018-05-01,0.13
2219300,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,,Suginami Ku,35.67354,139.65915,Entire home/apt,16463,1,14,2019-03-09,0.27
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67069,139.68388000000002,Private room,27008,1,147,2019-06-06,2.29
2289698,BEST for 2ppl@Shinjuku Takadanobaba,4799233,Yu,,Shinjuku Ku,35.70803,139.69822,Entire home/apt,3981,30,70,2019-06-15,1.07
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69781,139.70502,Private room,6026,2,78,2019-06-11,1.22
2602722,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.699259999999995,139.70507,Shared room,3981,2,140,2019-06-17,2.19
2602791,Shinjuku ShareHouse Dormitory1  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69883,139.70316,Shared room,3981,2,67,2019-06-12,1.05
2642449,S206 30sec Sta. AKB Shinjuku Shibuya,8660693,Soichi,,Koto Ku,35.690909999999995,139.81427,Private room,1506,30,71,2019-04-30,1.21
2645379,Shinjuku ShareHouse Dormitory4  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69883,139.70478,Shared room,3981,2,70,2019-06-24,1.1
2645582,New Studio - 5 min to Shinjuku (1),13521173,Alba & Cupidon,,Shinjuku Ku,35.68892,139.70391,Entire home/apt,9361,4,183,2019-06-18,4.12
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70477,139.37874,Entire home/apt,3551,3,27,2018-11-05,0.47
2839061,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,,Bunkyo Ku,35.72175,139.76308999999998,Private room,5488,3,62,2019-06-19,1.28
2867835,Lively town flat for family stay,9360394,Vann Amor,,Adachi Ku,35.79273,139.79121,Entire home/apt,12805,7,6,2019-05-21,0.12
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72229,139.77858999999998,Entire home/apt,19045,1,215,2019-06-11,3.51
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,,Adachi Ku,35.79298,139.79201,Entire home/apt,12805,7,3,2018-11-29,0.38
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,,Adachi Ku,35.79302,139.79263,Entire home/apt,6456,7,3,2019-05-06,0.06
3021731,Cozy room in the City,15397951,Kay,,Toshima Ku,35.72276,139.69073999999998,Private room,3551,2,103,2019-06-13,1.75
3085134,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.65117,139.72026,Entire home/apt,29052,3,105,2019-06-11,1.72
3097514,Nakameguro: Hideaway in Cul de Sac,15751854,Ziggie,,Meguro Ku,35.6411,139.68963,Private room,5380,35,50,2018-10-03,0.84
3140098,※定期借家契約限定!新宿駅13分!2BRs,15944339,Tomoko,,Shinjuku Ku,35.71696,139.69349,Entire home/apt,10007,30,138,2019-04-29,2.26
3177109,"Couple's Retreat, Mid-century Modern Oasis",16110809,Colleen,,Shinjuku Ku,35.68821,139.71921,Entire home/apt,13127,30,109,2018-12-15,1.88
3235958,Experience normal Japan life 1,16241464,Kaori,,Itabashi Ku,35.780770000000004,139.63208999999998,Entire home/apt,5488,1,77,2019-04-15,1.34
3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,,Katsushika Ku,35.73937,139.85173,Private room,5488,2,296,2019-06-23,4.83
3339222,Experience normal Japan life 2,16241464,Kaori,,Itabashi Ku,35.78116,139.63145,Entire home/apt,5057,1,44,2019-06-21,0.96
3364169,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",16973429,Hirano San,,Taito Ku,35.72338,139.80023,Entire home/apt,7962,5,113,2019-06-20,1.9
3366913,Beautiful and peaceful residence,15397951,Kay,,Shinjuku Ku,35.721470000000004,139.69075,Private room,4519,2,89,2019-04-07,1.47
3372902,ｱｼﾞｱﾝﾐｯｸｽﾃｲｽﾄの癒される空間,17018818,Miri,,Meguro Ku,35.61668,139.66756999999998,Entire home/apt,5810,2,119,2019-06-13,1.99
3395524,Perfect room for student,15397951,Kay,,Shinjuku Ku,35.72258,139.69075,Private room,3551,2,55,2019-05-20,1.15
3395898,Haneda 30min/La casa 1A,17133875,Shizu&Tazu&Mari,,Ota Ku,35.56545,139.6924,Entire home/apt,4950,28,54,2018-12-27,0.93
3409030,Bang For Your Buck!,17190614,Shu,,Shinjuku Ku,35.69665,139.70125,Private room,7962,4,141,2019-06-24,2.33
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,,Edogawa Ku,35.68463,139.86076,Entire home/apt,5165,2,58,2019-06-25,0.99
3563698,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",11583876,Ken,,Machida Shi,35.5902,139.4799,Entire home/apt,3874,5,76,2019-06-25,1.28
3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72873,139.7336,Entire home/apt,47775,3,141,2019-06-19,2.99
3585992,Haneda 30min/La casa 1B,17133875,Shizu&Tazu&Mari,,Ota Ku,35.56798,139.69322,Entire home/apt,4950,28,34,2019-01-15,0.57
3606276,*A*Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,9203725,Memz And Taki,,Suginami Ku,35.67295,139.65873,Private room,6456,1,3,2017-07-29,0.11
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,,Edogawa Ku,35.68401,139.85912,Entire home/apt,5165,2,42,2019-06-26,0.81
3689244,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,,Shibuya Ku,35.672259999999994,139.67852,Entire home/apt,30989,6,10,2019-04-23,0.18
3716040,Like a Tokyo Local in Equipped 34㎡,5660134,Kengo,,Setagaya Ku,35.61869,139.66025,Entire home/apt,7962,2,25,2019-05-30,0.54
3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76036,139.71713,Entire home/apt,5380,3,188,2019-06-12,3.29
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.630590000000005,139.63201999999998,Private room,7747,1,78,2019-06-21,1.33
3793206,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.697590000000005,139.70404,Private room,6026,2,187,2019-06-10,3.19
3793412,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,,Shinjuku Ku,35.69894,139.70385,Private room,4950,2,63,2019-06-09,1.07
3811441,Room in Mejiro/Ikebukuro (1 of 3),7537357,Yayoi,,Toshima Ku,35.72446,139.70176999999998,Private room,3228,3,251,2019-05-24,4.29
3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.7034,139.59892,Entire home/apt,8070,3,119,2019-06-19,2.08
3838856,SHINJUKU ★Designer Pencil House★ Whole House,4626879,Sam,,Shibuya Ku,35.681290000000004,139.69075,Entire home/apt,20552,30,167,2019-02-08,2.88
3845889,COZY LOFT BEDROOM #106,19089769,Manami,,Suginami Ku,35.70646,139.65659,Entire home/apt,7962,3,82,2019-06-12,2.1
3846001,COZY LOFT BEDROOM #1,19089769,Manami,,Suginami Ku,35.70505,139.65683,Entire home/apt,8500,3,110,2019-06-08,1.9
3871442,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,18776800,LiveinAsia,,Suginami Ku,35.704209999999996,139.59677,Entire home/apt,13020,3,30,2019-06-02,0.53
3885341,"Cozy Flat #302, local area Yet 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.663959999999996,139.65621000000002,Entire home/apt,6994,29,53,2019-04-25,0.94
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.64974,139.72214,Entire home/apt,35078,3,120,2019-04-30,2.07
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.765390000000004,139.44681,Entire home/apt,4842,3,118,2019-06-24,2.34
3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67754,139.68062,Entire home/apt,10437,3,71,2019-06-14,1.25
3972299,Shinjuku/ Yoyogi few minutes to the St. Free WiFi,151977,Miyuki,,Shibuya Ku,35.6842,139.69831000000002,Entire home/apt,10760,28,55,2018-02-19,0.96
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.6005,139.73452,Private room,3874,2,118,2019-06-08,2.07
4033739,XEBEC Kamata Station exz 705,20914125,町田,,Ota Ku,35.563559999999995,139.71653,Entire home/apt,6994,2,39,2019-05-26,2.52
4047596,｢LICENSED｣Enjoy Central Tokyo Yamanote Life,6504053,Bryan,,Shinagawa Ku,35.62707,139.72326999999999,Entire home/apt,24963,1,171,2019-06-05,2.96
4050925,Airport pick-up service&Asakusa traditional house,21004633,Yoshi,,Taito Ku,35.71648,139.79926,Entire home/apt,40028,1,417,2019-06-15,7.24
4141228,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73483,139.63168000000002,Entire home/apt,5380,3,66,2019-05-23,1.3
4158067,BRAND NEW ROOM in 80years house,21578101,Miki,,Setagaya Ku,35.6623,139.67283999999998,Private room,6026,2,112,2019-06-12,1.98
4222643,Decoboco hanare,21769906,Decoboco,,Koto Ku,35.681540000000005,139.81747,Entire home/apt,7962,2,293,2019-06-17,5.1
4255574,S203 30sec Sta.nearSUMO AKB Shinjuku2032,8660693,Soichi,,Koto Ku,35.6903,139.81396999999998,Private room,3228,30,76,2018-07-24,1.33
4312716,【中文･한글OK!】Tokyo/3min Ebisu/Near Shibuya★wifi,14351590,Manami&Mana,,Shibuya Ku,35.64588,139.7126,Entire home/apt,8608,30,180,2019-06-22,3.54
4360718,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,,Kita Ku,35.759840000000004,139.71753,Entire home/apt,4196,3,175,2019-06-07,3.14
4391546,2 BR walking distance to AZABU / ROPPONGI area!,22797910,Yuko,,Minato Ku,35.648790000000005,139.73698000000002,Entire home/apt,9469,30,49,2019-02-05,0.86
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,LiveinAsia,,Suginami Ku,35.7046,139.59682,Entire home/apt,13450,3,21,2019-06-22,0.38
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,LiveinAsia,,Suginami Ku,35.70341,139.5968,Entire home/apt,17001,3,19,2019-05-31,0.37
4471640,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(1)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.75653,139.47912,Private room,3658,4,11,2019-06-08,0.2
4471946,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,,Kita Ku,35.74576,139.75238000000002,Entire home/apt,14957,7,78,2019-06-21,1.48
4477690,Tokyo Central Entire Japanese House,2610437,Pari,,Shinjuku Ku,35.70254,139.72399,Entire home/apt,6779,30,25,2018-04-04,0.47
4478533,FF178 SKY TREE 2min/ASAKUSA 5min/UENO 10min 2Beds,13246788,Norito,,Sumida Ku,35.7239,139.82502,Entire home/apt,10007,1,43,2019-05-19,2.35
4495014,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Itabashi Ku,35.760090000000005,139.71457,Entire home/apt,3874,3,183,2019-05-20,3.36
4540924,"3persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,,Hino Shi,35.68484,139.39386000000002,Entire home/apt,3443,5,32,2019-06-18,0.59
4585434,"Ikebukuro Sakura - Fully Licensed, 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.73853,139.71835,Entire home/apt,8500,4,239,2019-06-18,4.29
4606903,Reversible Destiny Lofts/for2people,23871736,Matsuda,,Mitaka Shi,35.68145,139.53738,Entire home/apt,21520,3,18,2019-04-23,0.49
4616579,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73379,139.63183,Entire home/apt,5380,3,66,2019-05-07,1.24
4639078,"Ikebukuro Asahi - Fully Licensed, 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.73885,139.71856,Entire home/apt,8500,4,208,2019-06-17,3.72
4648953,"Ikebukuro Nisshō - Fully Licensed , 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.737159999999996,139.71987,Entire home/apt,8500,4,219,2019-06-13,3.93
4673248,Reversible Destiny Lofts/for4people,23871736,Matsuda,,Mitaka Shi,35.68152,139.53841,Entire home/apt,22811,3,28,2019-05-20,0.54
4690684,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(2)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.75768,139.48068,Private room,4089,4,3,2018-08-23,0.05
4691157,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(3)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.7566,139.48128,Private room,3551,4,15,2019-06-16,1.31
4709339,Room in Central Tokyo!!!!,24339628,Taichiro,,Shinagawa Ku,35.59725,139.72744,Private room,7962,1,47,2019-04-09,0.86
4713042,comfortable  stay (Blue  Sky ) + pocket wifi:),24230913,Yuni,,Arakawa Ku,35.72825,139.77863,Entire home/apt,9469,3,274,2019-06-14,5.01
4714750,Sweet home (5 to 6person :) *☻*+ pocket wifi,24230913,Yuni,,Arakawa Ku,35.72738,139.77714,Entire home/apt,9469,3,53,2019-05-31,1.02
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,,Hino Shi,35.68441,139.39461,Entire home/apt,3443,5,37,2019-06-20,0.72
4813245,*NEW*TOKYO HOUSE group/family up to 6 persons WIFI,9782688,Kevin,,Toshima Ku,35.73028,139.68568,Entire home/apt,20444,3,130,2019-06-21,2.46
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,,Taito Ku,35.72779,139.78991000000002,Entire home/apt,10007,2,223,2019-05-27,4.22
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,,Shibuya Ku,35.67719,139.67917,Entire home/apt,50035,1,194,2019-06-25,3.56
4827373,calm room-A Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.69138,139.67812,Private room,7532,1,177,2019-06-07,3.26
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,,Bunkyo Ku,35.7284,139.76316,Entire home/apt,6456,1,166,2019-06-16,3.03
4849854,Cozy resort villa TAKAOSAN 高尾山,22134668,Yuki,,Hachioji Shi,35.63714,139.28565,Entire home/apt,12051,2,106,2019-06-23,1.93
4856225,Log-Cabin feel apartment in Tokyo!,23678809,Jason,,Itabashi Ku,35.74281,139.68821,Entire home/apt,13020,1,27,2019-04-16,0.5
4881595,Roppongi area(2~3bed) Narita 85 min.Haneda 30 min,32575084,Shie,,Minato Ku,35.64833,139.73664,Private room,4950,30,7,2019-05-06,0.17
4888140,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76157,139.71708,Entire home/apt,4412,3,173,2019-04-20,3.27
4909611,J's APT 2 Bed Rooms + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73796,139.85163,Entire home/apt,11836,2,255,2019-06-18,4.72
4917347,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,,Katsushika Ku,35.73601,139.85142,Entire home/apt,12051,2,235,2019-06-21,4.36
4925503,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,,Shibuya Ku,35.68078,139.67729,Entire home/apt,6456,2,134,2019-05-30,3.45
4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,,Taito Ku,35.72907,139.79183999999998,Entire home/apt,16033,2,211,2019-06-22,4.33
4926317,SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ｼｮｯﾋﾟﾝｸﾞに便利!,25370510,Mitsuko,,Shibuya Ku,35.68127,139.67698000000001,Entire home/apt,4519,1,244,2019-06-15,4.53
4926426,SHIBUYA SHINJUKU 5 minutes walk from  Station,25370510,Mitsuko,,Shibuya Ku,35.67969,139.67656000000002,Entire home/apt,6026,1,212,2019-06-19,4.19
4951604,Traditional Zen Penthouse in Harajuku,25523994,Miwako,,Shibuya Ku,35.669779999999996,139.71101000000002,Entire home/apt,23672,3,90,2019-06-16,1.74
4958750,Convenient charming house,20993205,Seiichi & Keiko,,Edogawa Ku,35.738209999999995,139.88578,Private room,4950,3,87,2019-06-23,1.68
5002606,Roppongi area.Narita 85 .Haneda 30 min,32575084,Shie,,Minato Ku,35.64648,139.73686,Private room,4842,30,5,2018-08-26,0.11
5034900,One Room Apartment with own bathroom (A4-D),25865449,Seungkwan,,Shinjuku Ku,35.7007,139.70581,Entire home/apt,12051,3,38,2019-04-19,0.71
5050608,Newly Built condo ! FREE breakfast & cafe,1258947,Koichi (Ken),,Taito Ku,35.71714,139.79051,Entire home/apt,8070,4,43,2019-06-09,0.86
5063885,日本伝統建築 pure japanese home in Tokyo,26144465,Zozo,,Koto Ku,35.6991,139.8321,Private room,12482,1,4,2015-05-25,0.08
5070495,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73468,139.63121,Entire home/apt,5380,3,67,2019-05-20,1.26
5075815,CraftFlat Ebisu: 8F 1 br Penthouse,25729330,Go,,Shibuya Ku,35.6502,139.70746,Entire home/apt,12051,30,69,2018-10-28,1.34
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,,Koto Ku,35.680659999999996,139.81898999999999,Entire home/apt,10007,1,182,2019-06-21,3.41
5111244,Good access to Shinjuku & Nakano,26407522,Yoko,,Nakano Ku,35.72112,139.66641,Private room,3228,2,147,2019-06-03,2.94
5128066,家族でのご利用にお得なおしゃれな一軒家､まるまるﾌﾟﾗﾝ｡,26509472,里枝,,Hino Shi,35.66475,139.42033999999998,Private room,20014,1,2,2019-05-05,0.25
5128293,Shinjuku ShareHouse Dormitory3  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.6999,139.70179,Shared room,3981,2,117,2019-06-22,2.19
5154958,Monthly Lease apartment Near Shibuya 5FLQuiet WiFi,26658406,Hitoshi,,Setagaya Ku,35.64679,139.68044,Entire home/apt,13020,30,62,2019-04-01,1.72
5188591,calm room-B Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.690870000000004,139.67796,Private room,3874,1,177,2019-06-11,3.36
5198467,Wonderful Japanese style YANAKA (*´ω`),25911199,Aya,,Bunkyo Ku,35.72177,139.76196000000002,Entire home/apt,26039,3,30,2018-06-24,0.57
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66369,139.68674,Entire home/apt,34863,2,188,2019-06-12,3.65
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.735459999999996,139.63173,Entire home/apt,5918,3,75,2019-05-30,1.42
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.6627,139.68769,Entire home/apt,33679,2,164,2019-06-12,3.18
5255533,Hiroo 103 - Family 2 bedroom - Quiet Neighborhood,15330352,Lauren & Tats,,Minato Ku,35.64853,139.7284,Entire home/apt,27976,2,110,2019-06-20,2.79
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73379,139.63314,Entire home/apt,5380,3,43,2019-05-23,0.83
5262658,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.735240000000005,139.63172,Entire home/apt,5918,3,97,2019-06-05,1.83
5273171,ROOM IN CENTRAL TOKYO!!!,24339628,Taichiro,,Shinagawa Ku,35.59691,139.72933,Private room,4950,1,207,2019-06-03,3.95
5297168,"Monthly apartment! Near Shibuya  Quiet,11fl  Wi-Fi",26658406,Hitoshi,,Setagaya Ku,35.64735,139.68016,Entire home/apt,13020,30,74,2019-03-22,1.8
5318866,Newly Built Petit Hotel ! FREE breakfast & cafe.,1258947,Koichi (Ken),,Taito Ku,35.715720000000005,139.79057,Private room,9684,4,26,2019-02-08,0.53
5319992,"Kokubunji 10min!!Easy to Tokyo,Shinjuku&Kichijoji",21027438,Ai,,Koganei Shi,35.70349,139.48582,Entire home/apt,4519,7,77,2019-05-25,1.48
5322905,"TOKYO!! JAPANESE STUDIO, WIFI,  KOKUBUNJI2",21027438,Ai,,Kokubunji Shi,35.70366,139.48405,Entire home/apt,4519,7,52,2019-06-15,0.99
